"Scenario TID","Test Data","TestCase Description","PreCondition","TestSteps","Expected Result","Actual Result","Status","Executed QA Name","Misc (Comments)","Priority","Is Automated"
"TC_001","Valid registered email + correct password","[Functional-Authentication] Verify successful login with valid email and password","User has a registered VWO account with known email/password","1. Navigate to app.vwo.com login page; 2. Enter valid email; 3. Enter valid password; 4. Click Login button","User is authenticated and redirected to the VWO dashboard","","Not Executed","","PRD: Functional Requirements > Authentication System > Login Process - Primary Authentication","Critical","Yes"
"TC_002","Valid email + incorrect password","[Functional-Authentication] Verify login is rejected with an incorrect password","User has a registered VWO account","1. Navigate to login page; 2. Enter valid email; 3. Enter incorrect password; 4. Click Login","Login is rejected; a clear, actionable error message is displayed; user remains on login page","","Not Executed","","PRD: Login Process - secure validation; Error Handling","Critical","Yes"
"TC_003","Unregistered/invalid email + any password","[Functional-Authentication] Verify login is rejected for an unregistered email address","None","1. Navigate to login page; 2. Enter an email not associated with any account; 3. Enter any password; 4. Click Login","Login is rejected; clear, actionable error message shown","","Not Executed","","PRD: Login Process - secure validation; Error Handling","High","Yes"
"TC_004","Empty email field","[Functional-Validation] Verify login is blocked when the email field is left empty","None","1. Navigate to login page; 2. Leave email field empty; 3. Enter a password; 4. Click Login","Real-time/field validation prevents submission or shows an inline error on the email field","","Not Executed","","PRD: User Input Validation - Real-time Validation on blur","High","Yes"
"TC_005","Empty password field","[Functional-Validation] Verify login is blocked when the password field is left empty","None","1. Navigate to login page; 2. Enter a valid email; 3. Leave password field empty; 4. Click Login","Real-time/field validation prevents submission or shows an inline error on the password field","","Not Executed","","PRD: User Input Validation - Real-time Validation on blur","High","Yes"
"TC_006","Valid credentials","[Functional-Authentication] Verify a secure session is established after successful login","User has valid credentials","1. Log in with valid email/password; 2. Inspect session token/cookie issued by the application","A secure session token is created and associated with the authenticated user","","Not Executed","","PRD: Session Management - secure session handling","Critical","No (Requires backend/session-store inspection, not pure UI)"
"TC_007","Valid credentials; session left idle","[Functional-Authentication] Verify session expires after the configured timeout period","User is logged in with an active session","1. Log in successfully; 2. Leave the session idle beyond the configured timeout; 3. Attempt to access the dashboard","User session has expired and user is redirected to login / re-authentication is required","","Not Executed","","PRD: Session Management - configurable timeout periods. Exact timeout duration not specified in PRD - Inference (low confidence) on wait duration used in test.","High","Yes"
"TC_008","Account with 2FA available","[Functional-Authentication] Verify user can opt in to enable optional Multi-Factor Authentication (2FA)","User is logged into account settings","1. Navigate to security/account settings; 2. Enable 2FA option","2FA is enabled successfully for the account","","Not Executed","","PRD: Multi-Factor Authentication - Optional 2FA support. Exact settings UI location not specified in PRD - Inference (low confidence).","High","Yes"
"TC_009","Account with 2FA enabled + valid credentials","[Functional-Authentication] Verify user is prompted for a 2FA code after successful primary authentication when 2FA is enabled","2FA is enabled on the test account","1. Enter valid email and password; 2. Click Login","User is prompted to enter a second-factor authentication code before being granted access","","Not Executed","","PRD: Multi-Factor Authentication","High","Yes"
"TC_010","Account with 2FA enabled + incorrect 2FA code","[Functional-Authentication] Verify login is rejected when an incorrect 2FA code is entered","2FA is enabled; user has passed primary authentication","1. Complete primary login; 2. Enter an incorrect 2FA code; 3. Submit","Access is denied; clear error message displayed; user is not granted a session","","Not Executed","","PRD: Multi-Factor Authentication; Error Handling","High","Yes"
"TC_011","Enterprise/organizational account","[Functional-Authentication] Verify Enterprise SSO login option is available for organizational accounts","Test account belongs to an organization with SSO configured","1. Navigate to login page; 2. Verify presence of SSO login option for the organizational account","SSO login option (e.g., 'Login with SSO') is visible and available","","Not Executed","","PRD: Single Sign-On (SSO) - Enterprise SSO integration capabilities","Medium","Yes"
"TC_012","Enterprise SSO-configured account","[Functional-Authentication] Verify SSO login authenticates the user via the organization's Identity Provider","SSO is configured for the test organization (SAML/OAuth)","1. Click SSO login option; 2. Authenticate via the Identity Provider; 3. Return to VWO","User is authenticated and redirected to the VWO dashboard via SSO","","Not Executed","","PRD: SSO; Third-Party Services - Enterprise SSO (SAML, OAuth)","Medium","No (Depends on external IdP test environment)"
"TC_013","Any input field on login form","[Functional-Validation] Verify field-level validation triggers on blur","None","1. Focus on email field then move focus away (blur) without valid input; 2. Observe field state","Field validation message/feedback is shown immediately after blur, without requiring form submission","","Not Executed","","PRD: Real-time Validation - Field validation on blur","Medium","Yes"
"TC_014","Malformed email strings, e.g. 'user@', 'user.com'","[Functional-Validation] Verify email format is validated and rejects malformed addresses","None","1. Enter a malformed email address in the email field; 2. Move focus away or submit","An email-format validation error is displayed","","Not Executed","","PRD: Email Format Verification - automatic email format validation","High","Yes"
"TC_015","Mobile device/browser emulation","[Functional-Validation] Verify a specialized mobile keyboard (email layout) appears for the email field on mobile devices","Test executed on a mobile device or mobile emulator","1. Open login page on a mobile device; 2. Tap the email field","The device presents an email-optimized keyboard (e.g., with '@' key)","","Not Executed","","PRD: Email Format Verification - specialized mobile keyboards","Low","No (Mobile OS keyboard behavior not verifiable via standard Selenium WebDriver)"
"TC_016","Passwords of varying strength while typing","[Functional-Validation] Verify password strength indicator updates dynamically as the user types","None","1. Focus on the password field; 2. Type a weak password, then a stronger password incrementally; 3. Observe strength indicator","Visual password strength indicator updates in real time to reflect current input strength","","Not Executed","","PRD: Password Strength Indicators - Visual feedback for password requirements and strength. Exact strength thresholds not specified in PRD - Inference (low confidence).","Medium","Yes"
"TC_017","Invalid login attempt","[Functional-Validation] Verify a clear, actionable error message is shown on failed authentication","None","1. Attempt login with invalid credentials; 2. Observe the error message displayed","A clear, actionable error message is displayed, guiding the user on next steps","","Not Executed","","PRD: Error Handling - Clear, actionable error messages for failed authentication attempts","High","Yes"
"TC_018","Registered account email","[Functional-Password Management] Verify clicking 'Forgot Password' initiates the password reset flow","User has a registered account","1. On login page, click 'Forgot Password' link; 2. Enter registered email; 3. Submit","Password reset flow is initiated; confirmation message is shown to the user","","Not Executed","","PRD: Forgot Password Flow - Streamlined password reset process","High","Yes"
"TC_019","Registered account email","[Functional-Password Management] Verify a secure reset token is generated and delivered via email during password reset","User has initiated the forgot-password flow","1. Submit forgot-password request for a registered email; 2. Check the email inbox for the reset link/token","A secure, unique reset token/link is generated and received in the user's email","","Not Executed","","PRD: Forgot Password Flow - secure token generation","High","No (Requires email inbox/API verification, not pure browser UI)"
"TC_020","Valid password reset token/link","[Functional-Password Management] Verify password recovery completes successfully via the emailed reset link","A valid reset token/link has been generated for the account","1. Open the password reset link from email; 2. Enter and confirm a new password; 3. Submit","Password is updated successfully; user can log in with the new password","","Not Executed","","PRD: Password Recovery - Multiple recovery options including email-based reset","High","Yes"
"TC_021","New password meeting complexity rules","[Functional-Password Management] Verify a new password meeting enforced complexity requirements is accepted","User is on the set-new-password step of password reset (or registration)","1. Enter a new password that satisfies the enforced complexity rules; 2. Confirm password; 3. Submit","New password is accepted and saved","","Not Executed","","PRD: Password Requirements - Enforced security standards for password complexity. Exact complexity rules (length/char classes) not specified in PRD - Insufficient information to determine.","High","Yes"
"TC_022","New password NOT meeting complexity rules","[Functional-Password Management] Verify a new password that fails complexity requirements is rejected","User is on the set-new-password step","1. Enter a new password that does not satisfy complexity requirements; 2. Submit","Submission is rejected with a validation message indicating the password does not meet requirements","","Not Executed","","PRD: Password Requirements. Exact complexity rules not specified in PRD - Insufficient information to determine.","High","Yes"
"TC_023","Mobile viewport (e.g., 375x812)","[Functional-UX] Verify the login page renders correctly and responsively on a mobile viewport","None","1. Open login page on a mobile viewport/device; 2. Observe layout of form elements","Login form and all elements render correctly, legibly, and without overlap on the mobile viewport","","Not Executed","","PRD: Responsive Design - Mobile-optimized interface with touch-friendly controls","Medium","Yes"
"TC_024","Touchscreen device/emulator","[Functional-UX] Verify all login form controls are usable via touch input","Test executed on a touch-enabled device or emulator","1. Tap email field, password field, and Login button using touch input","All controls respond correctly to touch interaction","","Not Executed","","PRD: Responsive Design - touch-friendly controls","Low","No (Touch-specific interaction not fully simulable via standard Selenium WebDriver)"
"TC_025","N/A","[Functional-UX] Verify the first input field (email) is auto-focused when the login page loads","None","1. Navigate to the login page; 2. Observe which field has focus without any user interaction","The email input field is automatically focused on page load","","Not Executed","","PRD: Auto-focus - Automatic focus on the first input field","Medium","Yes"
"TC_026","N/A","[Functional-UX] Verify clicking a form label focuses its associated input field","None","1. Click on the 'Email' label text (not the input itself); 2. Observe focus state","Clicking the label moves focus to its associated input field","","Not Executed","","PRD: Clickable Labels - Enhanced accessibility with clickable form labels","Low","Yes"
"TC_027","Valid credentials","[Functional-UX] Verify a loading state is displayed while the authentication request is processing","None","1. Enter valid credentials; 2. Click Login; 3. Observe the UI immediately after submission before the response returns","A loading indicator (spinner/disabled button state) is shown during authentication processing","","Not Executed","","PRD: Loading States - Clear feedback during authentication processing","Medium","Yes"
"TC_028","Screen reader enabled (e.g., NVDA/JAWS/VoiceOver)","[Functional-Accessibility] Verify screen readers correctly announce login form fields via ARIA labels","Screen reader software is active","1. Navigate the login form using a screen reader; 2. Listen to announcements for each field/button","Screen reader correctly announces field names/roles/states via ARIA labels","","Not Executed","","PRD: Screen Reader Support - ARIA labels and keyboard navigation compatibility","High","No (Requires assistive-technology tooling, not standard Selenium automation)"
"TC_029","High Contrast Mode toggle","[Functional-Accessibility] Verify High Contrast Mode can be enabled and is correctly applied to the login page","None","1. Enable High Contrast Mode (OS or in-app setting); 2. Reload/view the login page","Login page renders using high-contrast styling for improved visibility","","Not Executed","","PRD: High Contrast Mode - Accessibility options for visually impaired users. Toggle location (OS-level vs in-app) not specified in PRD - Inference (low confidence).","Medium","Yes"
"TC_030","Keyboard only, no mouse","[Functional-Accessibility] Verify all interactive elements on the login page are reachable and operable using only the keyboard","None","1. Using only Tab/Shift+Tab/Enter/Space, navigate through email field, password field, remember-me checkbox, forgot-password link, login button, registration link; 2. Operate each control","All interactive elements are reachable in a logical order and fully operable via keyboard alone","","Not Executed","","PRD: Keyboard Navigation - Full keyboard accessibility for all interactive elements","High","Yes"
"TC_031","N/A","[Functional-Branding] Verify the login page displays correctly in Light Mode","Light Mode is the active/selected theme","1. Set/ensure Light Mode is active; 2. Observe login page styling","Login page renders using Light Mode color scheme per current branding","","Not Executed","","PRD: Theme Support - Light and Dark Mode options as highlighted in current announcements","Low","Yes"
"TC_032","N/A","[Functional-Branding] Verify the login page displays correctly in Dark Mode","Dark Mode is the active/selected theme","1. Switch to Dark Mode; 2. Observe login page styling","Login page renders using Dark Mode color scheme per current branding","","Not Executed","","PRD: Theme Support - Light and Dark Mode options","Low","Yes"
"TC_033","N/A","[Functional-Branding] Verify the login page's visual design aligns with VWO's overall brand design system","None","1. Review login page logo, colors, typography, and layout against VWO's design system/brand guidelines","Page presents a professional appearance consistent with VWO's brand design system","","Not Executed","","PRD: Brand Consistency; Visual Appeal. Specific brand guideline assets not provided in PRD - Inference (low confidence), recommend visual/manual QA review.","Low","No (Subjective visual/brand review, not suited to functional automation)"
"TC_034","Valid credentials + Remember Me checked","[Functional-Existing Feature] Verify 'Remember Me' persists the login session across browser restarts","None","1. Log in with valid credentials and check 'Remember Me'; 2. Close the browser completely; 3. Reopen the browser and navigate to app.vwo.com","User remains logged in / session is restored without re-entering credentials","","Not Executed","","PRD: Existing Features - Remember Me Functionality","Medium","Yes"
"TC_035","N/A","[Functional-Existing Feature] Verify the Account Registration link navigates to the free trial signup path","None","1. On the login page, click the registration/sign-up link","User is navigated to the free trial signup page/flow","","Not Executed","","PRD: Existing Features - Account Registration Link; New User Experience - Registration Path","Medium","Yes"
"TC_036","N/A","[Functional-Existing Feature] Verify the product announcement banner displays, highlighting the new UI launch with Light/Dark Mode","None","1. Navigate to the login page; 2. Observe presence of the announcement banner","Announcement banner is displayed highlighting the new UI launch and Light/Dark Mode options","","Not Executed","","PRD: Existing Features - Product Announcements","Low","Yes"
"TC_037","Valid credentials","[Functional-Integration] Verify successful authentication transitions the user seamlessly to the main VWO dashboard","User has valid credentials","1. Log in successfully; 2. Observe post-login navigation","User is transitioned seamlessly to the main VWO dashboard without additional steps","","Not Executed","","PRD: Platform Integrations - VWO Core Platform seamless transition to main dashboard","Critical","Yes"
"TC_038","Valid credentials","[Functional-Integration] Verify a successful login event is tracked in analytics","Access to analytics tracking/logs is available for verification","1. Log in successfully; 2. Check analytics tracking data/logs for the login event","A login-success event is recorded in the analytics system","","Not Executed","","PRD: Analytics Integration - Login success/failure tracking for platform optimization","Medium","No (Requires backend analytics/log verification, not pure UI)"
"TC_039","Invalid credentials","[Functional-Integration] Verify a failed login attempt is tracked in analytics","Access to analytics tracking/logs is available for verification","1. Attempt login with invalid credentials; 2. Check analytics tracking data/logs for the failure event","A login-failure event is recorded in the analytics system","","Not Executed","","PRD: Analytics Integration - Login success/failure tracking","Medium","No (Requires backend analytics/log verification, not pure UI)"
"TC_040","N/A","[Functional-Integration] Verify a customer-support/help option is accessible from the login page for login assistance","None","1. On the login page, locate and interact with the support/help option","User is able to access customer support assistance related to login issues","","Not Executed","","PRD: Third-Party Services - Customer Support integration for login assistance","Low","Yes"
"TC_041","Google account credentials","[Functional-Integration] Verify Social Login with Google authenticates the user successfully","A test Google account exists and is linked/linkable","1. Click 'Login with Google'; 2. Authenticate with Google account; 3. Grant permissions if prompted","User is authenticated via Google and redirected to the VWO dashboard","","Not Executed","","PRD: Social Login - Optional integration with Google, Microsoft, and other identity providers","Medium","No (Depends on external Google OAuth consent screen, not fully reliable to automate)"
"TC_042","Microsoft account credentials","[Functional-Integration] Verify Social Login with Microsoft authenticates the user successfully","A test Microsoft account exists and is linked/linkable","1. Click 'Login with Microsoft'; 2. Authenticate with Microsoft account; 3. Grant permissions if prompted","User is authenticated via Microsoft and redirected to the VWO dashboard","","Not Executed","","PRD: Social Login - Optional integration with Google, Microsoft, and other identity providers","Medium","No (Depends on external Microsoft OAuth consent screen, not fully reliable to automate)"
"TC_043","Remembered credentials from prior session","[Functional-User Journey] Verify a returning user with remembered credentials reaches the dashboard with minimal steps","User previously logged in with 'Remember Me' enabled","1. Navigate to app.vwo.com; 2. Observe login/session state","User reaches the dashboard quickly without re-entering full credentials (Quick Access)","","Not Executed","","PRD: Returning User Experience - Quick Access; Dashboard Transition","Medium","Yes"
"TC_044","Prior session activity exists","[Functional-User Journey] Verify recent activity/context from a previous session is preserved after login","User has prior session activity on the account","1. Log in as a returning user with existing session history; 2. Observe dashboard for recent-activity context","Recent activity/context from the previous session is visible/preserved on the dashboard","","Not Executed","","PRD: Returning User Experience - Recent Activity: Context preservation from previous sessions","Low","No (Depends on backend session-history data, not verifiable via login-page UI alone)"
"TC_045","Invalid login attempt","[Functional-User Journey] Verify the error-recovery flow clearly identifies the authentication error to the user","None","1. Attempt login that results in an authentication failure; 2. Observe error identification messaging","Error is clearly identified/messaged to the user (Error Identification)","","Not Executed","","PRD: Error Recovery Flow - Error Identification: Clear messaging for authentication failures","High","Yes"
"TC_046","Invalid login attempt","[Functional-User Journey] Verify multiple recovery options are presented to the user after an authentication error","An authentication error has occurred","1. Trigger a login failure; 2. Observe recovery options presented (e.g., forgot password, contact support)","Multiple paths for account recovery and support are presented to the user","","Not Executed","","PRD: Error Recovery Flow - Recovery Options: Multiple paths for account recovery and support","High","Yes"
"TC_047","Valid credentials","[Functional-User Journey] Verify a clear success confirmation is shown upon successful login completion","None","1. Log in with valid credentials; 2. Observe confirmation of successful login","A clear indication of successful login completion is shown to the user","","Not Executed","","PRD: Error Recovery Flow - Success Confirmation: Clear indication of successful login completion","Medium","Yes"
"TC_048","Login request over the network","[Non-Functional-Security] Verify all authentication data is transmitted using end-to-end encryption","Network traffic capture tooling is available","1. Initiate a login request; 2. Capture and inspect network traffic between client and server","All authentication data in transit is encrypted end-to-end; no credentials appear in plaintext","","Not Executed","","PRD: Data Protection - Encryption: End-to-end encryption for all authentication data transmission","Critical","No (Requires network traffic/packet inspection tooling, not standard Selenium)"
"TC_049","Stored user credentials","[Non-Functional-Security] Verify passwords are stored using industry-standard hashing, not in plaintext","Access to the credential data store (test/staging) is available for verification","1. Create/reset a user password; 2. Inspect the stored password value in the data store","Stored password is hashed using an industry-standard algorithm; plaintext password is not stored","","Not Executed","","PRD: Data Protection - Secure Storage: Encrypted password storage using industry-standard hashing algorithms","Critical","No (Requires direct data-store access, not UI/Selenium-testable)"
"TC_050","Authenticated session","[Non-Functional-Security] Verify session tokens are securely generated and cannot be predicted or reused after logout","User has an active authenticated session","1. Log in and capture the session token; 2. Log out; 3. Attempt to reuse the captured token to access the dashboard","Session token is invalidated after logout and cannot be reused to gain access","","Not Executed","","PRD: Data Protection - Session Security: Secure session token generation and management","Critical","No (Requires token capture/replay tooling beyond standard Selenium UI automation)"
"TC_051","Login page URL over plain HTTP","[Non-Functional-Security] Verify HTTPS/TLS is enforced for all login page communications","None","1. Attempt to access the login page/endpoints via HTTP; 2. Observe protocol handling","Requests are enforced/redirected to HTTPS; no login communication occurs over plain HTTP","","Not Executed","","PRD: Data Protection - HTTPS Enforcement: SSL/TLS encryption for all login communications","Critical","Yes"
"TC_052","Repeated invalid login attempts from same source","[Non-Functional-Security] Verify repeated failed login attempts are rate-limited/throttled","None","1. Submit multiple consecutive failed login attempts in rapid succession from the same account/IP; 2. Observe system response","Further login attempts are throttled or temporarily blocked, protecting against brute-force attacks","","Not Executed","","PRD: Compliance Standards - Rate Limiting: Protection against brute force attacks through request throttling. Exact attempt threshold not specified in PRD - Inference (low confidence).","Critical","Yes"
"TC_053","Sustained brute-force attempt simulation","[Non-Functional-Security] Verify the system prevents successful brute-force compromise of an account","None","1. Simulate a sustained brute-force login attempt against a single account; 2. Observe whether account is ever compromised","Zero successful unauthorized access occurs; account access remains protected","","Not Executed","","PRD: Success Metrics - Security Metrics: Zero successful brute force attacks or unauthorized access","Critical","No (Security/penetration-testing exercise, not standard functional automation)"
"TC_054","EU-based test user data","[Non-Functional-Compliance] Verify authentication data handling for EU users complies with GDPR requirements","Test data representing an EU-based user is available","1. Review data collection/consent/handling for an EU user during login; 2. Verify against GDPR requirements","Authentication data handling adheres to GDPR requirements (consent, data minimization, user rights)","","Not Executed","","PRD: Compliance Standards - GDPR Compliance: European data protection regulation adherence for user data handling","High","No (Requires legal/compliance review, not automatable via Selenium)"
"TC_055","N/A","[Non-Functional-Performance] Verify the login page loads within 2 seconds on a standard connection","Standard/typical network connection conditions","1. Clear cache; 2. Navigate to the login page; 3. Measure full page load time","Login page fully loads within 2 seconds","","Not Executed","","PRD: Performance Requirements - Page Load Speed: Login page loading within 2 seconds on standard connections","High","Yes"
"TC_056","N/A","[Non-Functional-Performance] Verify login page assets (images, CSS, JS) are compressed and minified","None","1. Load the login page; 2. Inspect network payload for image compression and CSS/JS minification","Assets are served compressed/minified as expected","","Not Executed","","PRD: Performance Requirements - Asset Optimization: Compressed images and minified CSS/JavaScript files","Medium","Yes"
"TC_057","N/A","[Non-Functional-Performance] Verify login page assets are served via a Content Delivery Network (CDN)","None","1. Load the login page; 2. Inspect asset request headers/response for CDN indicators","Static assets are confirmed to be served through a CDN","","Not Executed","","PRD: Performance Requirements - CDN Integration: Content delivery network utilization for global performance","Medium","Yes"
"TC_058","Simulated thousands of concurrent login requests","[Non-Functional-Performance] Verify the system supports thousands of simultaneous login attempts without degradation","Load-testing environment/tooling is available","1. Simulate thousands of concurrent login requests using a load-testing tool; 2. Monitor system response time and error rate","System handles concurrent load while maintaining acceptable response times and without failures","","Not Executed","","PRD: Performance Requirements - Scalability: Concurrent Users - Support for thousands of simultaneous login attempts","High","No (Requires dedicated load-testing tool such as JMeter/Gatling, not Selenium)"
"TC_059","N/A","[Non-Functional-Performance] Verify the login service maintains 99.9% uptime / high availability under failover conditions","Access to infrastructure monitoring/failover test environment","1. Simulate an infrastructure failover scenario; 2. Monitor login service availability throughout","Login service maintains availability consistent with the 99.9% uptime target during failover","","Not Executed","","PRD: Scalability - High Availability: 99.9% uptime to support VWO's global user base","High","No (Infrastructure/DevOps monitoring exercise, not Selenium-testable)"
"TC_060","Requests originating from multiple geographic regions","[Non-Functional-Performance] Verify the login service performs correctly and performantly when accessed from multiple geographic regions","Access to multi-region test endpoints/tooling","1. Access the login page/service from multiple geographic regions; 2. Compare response times and functional correctness","Login service responds correctly and with optimal performance across tested regions","","Not Executed","","PRD: Scalability - Geographic Distribution: Multi-region deployment for optimal global performance","Medium","No (Requires multi-region test infrastructure, not standard Selenium)"
"TC_061","Full authentication flow","[Non-Functional-Compliance] Verify the login authentication flow complies with OWASP authentication guidelines","None","1. Review the authentication flow (credential handling, session management, error messaging) against OWASP authentication guideline checklist","Authentication flow adheres to applicable OWASP authentication guidelines","","Not Executed","","PRD: Compliance and Standards - Security Standards: Industry Standards - Compliance with OWASP authentication guidelines","High","No (Security audit/checklist review, not automatable via Selenium)"
"TC_062","Full login page","[Non-Functional-Compliance] Verify the login page meets WCAG 2.1 AA accessibility compliance","Accessibility audit tooling is available (e.g., axe, WAVE)","1. Run an automated WCAG 2.1 AA accessibility audit against the login page; 2. Review results","No critical/serious WCAG 2.1 AA violations are reported","","Not Executed","","PRD: Compliance and Standards - Accessibility Standards: WCAG Compliance - Web Content Accessibility Guidelines 2.1 AA compliance","High","Yes"
"TC_063","California-based test user data","[Non-Functional-Compliance] Verify authentication data handling for California users complies with CCPA requirements","Test data representing a California-based user is available","1. Review data collection/handling for a CCPA-applicable user during login; 2. Verify against CCPA requirements","Authentication data handling adheres to CCPA requirements","","Not Executed","","PRD: Compliance and Standards - Data Protection: GDPR and CCPA compliance for user data handling","Medium","No (Requires legal/compliance review, not automatable via Selenium)"
